r p q1 q2
138 0.10146901025315584 0.035090084214433916 0.1434257198211231
139 0.14474780083330507 0.02637689937475043 0.10456455350638563
140 0.22667171131573347 0.06358020375880023 0.14609924471753233
141 0.05337944287613446 0.052814607070865154 0.09460032072296186
142 0.29871935301245184 0.08956747088433277 0.07429691434377907
143 0.2616767597132784 0.050160703744609146 0.10574376347305052
144 0.13325185288562208 0.024440575796907872 0.12553521661274258
145 0.2330136616057895 0.07760994121284236 0.10214530549462125
146 0.17333017980948487 0.035635363877658886 0.13687214331462885
147 0.23861071217178875 0.055781070212153706 0.08953742288682617
148 0.2444584914469783 0.03729518605334421 0.0594587869631747
149 0.12454899132600193 0.050466135840958354 0.11035489887007582
150 0.19242533444855817 0.04855450620883757 0.07414532095408342
151 0.028842071398023413 0.06232393956683661 0.109225489855302
152 0.16632738069095185 0.04839874882382224 0.10051224260173904
153 0.1560305042045051 0.035936837099289035 0.12894067508649493
154 0.23796328820892024 0.03629050091457621 0.10413676446274923
155 0.23447041787402545 0.045834554873765095 0.128804362919468
156 0.27850523958265433 0.03360646326730377 0.11435184828710157
157 0.28287785337808313 0.07922377496632912 0.13620735536984035
158 0.2224825887608355 0.042341497724585404 0.08485844671939996
159 0.2818003449683947 0.049340079873871956 0.15985687729160328
160 0.33253051755011515 0.049092341762988226 0.12715026145215308
161 0.11722702746448485 0.03864421987985839 0.06681101699125117
162 0.1727885064074272 0.05756033152745285 0.12113304886980554
163 0.10667358621188877 0.006046557029924429 0.1300904801198479
164 0.23023847310243822 0.05683756175675691 0.08925712459168261
165 0.15912624303847234 0.03321247196129196 0.09284927195210073
166 0.15660772619154542 0.0675078746834222 0.06982095353236917
167 0.3458336133871751 0.06627379982964507 0.11984962698839133
168 0.2998045959618811 0.058756268205406276 0.13569542358042253
169 0.5074795912801308 0.09663891085073169 0.1453844784942527
170 0.18791145047621838 0.04156135296804322 0.08973005159141192
171 0.30140326601557527 0.047516793692108254 0.10396662415968368
172 0.25703407977541165 0.0434768651090209 0.06254575495546445
173 0.17877350542277376 0.07577757111759746 0.08096666834974561
174 0.07353224553071867 0.025593847569768433 0.16495953572089977
175 0.318256967394612 0.09106893160853388 0.10881465310382105
176 0.17184982327691098 0.029668059440411176 0.09311663514695762
177 0.19617765298656828 0.06297765801861364 0.08220614820290846
178 0.09392968154512765 0.0706618956424946 0.1289715646588725
179 0.3082088378885969 0.07521519833047093 0.12719506125293983
180 0.18138020007527147 0.06121170422533957 0.12736829067167676
181 0.27800989902537554 0.037101495727824604 0.08962471110512048
182 0.4118235458593649 0.08886644527603427 0.09959611711221557
183 0.22546566309212882 0.0498440335299117 0.16894701800949743
184 0.23363404571158627 0.07403231441045253 0.08570073343968145
185 0.3677887632248559 0.060252935262950086 0.13535220156873168
186 0.15073713866367855 0.03730034633559445 0.11783910183679552
187 0.20503819692726072 0.030240892497955366 0.09779958430526008
188 0.12361231038842815 0.027695377569392617 0.09781945878887631
189 0.12270198414998501 0.046152661097387984 0.09454590047302863
190 0.3377098517055361 0.04976006323857563 0.14533073827007945
191 0.18972589114191232 0.04118180821300416 0.11814528104732483
192 0.25075617092262953 0.03931746974025458 0.14593898174434825
193 0.1333878765155329 0.03238548750710942 0.10366062695907982
194 0.127345089398363 0.030356179334204432 0.13956383123443838
195 0.2495915265991946 0.03850948294153243 0.10858147201193699
196 0.10386201566420328 0.08484411299658888 0.11809332573794522
197 0.237743447761137 0.061486601944815956 0.09519308071040479
198 0.2263530474762321 0.050381522204176216 0.07059279591200254
199 0.1845271339962695 0.053980540790019856 0.08454416594712943
